"","Women","Number","Oldest.Youngest","Men","Number.1","Oldest.Youngest.1"
"265","Jacobine",13,"1931 2009 ","Jakob",375,"1918 2010"
"266","Jakobine",144,"1921 2010 ","Jakunguaq",8,"1939 1970"
"267","Jane",44,"1948 2010 ","James",28,"1926 2010"
"268","Janne",10,"1954 2009 ","Jan",181,"1928 2010"
"269","Janny",5,"1932 2004 ","Jannick",7,"1971 2008"
"270","Jeanette",12,"1967 2005 ","Jannik",9,"1948 2008"
"271","Jennifer",7,"1966 2010 ","Janus",13,"1935 2010"
"272","Jenny",19,"1930 2010 ","Jehu",7,"1924 2010"
"274","Jensigne",35,"1944 2010 ","Jens",789,"1923 2010"
"275","Jensine",118,"1925 2010 ","Jens-Frederik",5,"1950 2004"
"276","Jessica",8,"1980 2010 ","Jens-Jørgen",9,"1947 2007"
"277","Jette",31,"1940 2007 ","Jens-Ole",12,"1944 2008"
"278","Joan",9,"1951 2005 ","Jens-Peter",18,"1952 2009"
"279","Joelsine",16,"1952 2010 ","Jenseeraq",5,"1965 2005"
"280","Johanna",7,"1958 2009 ","Jenseraq",10,"1940 1982"
"281","Johanne",332,"1919 2010 ","Jensinnguaq",5,"1985 2006"
"282","Johansigne",8,"1941 2008 ","Jeppe",10,"1959 2005"
"283","Johansine",17,"1933 2009 ","Jeremias",26,"1934 2010"
"284","Jonasine",5,"1940 1998 ","Jes",11,"1949 1978"
"285","Jonna",68,"1932 2009 ","Jesper",75,"1940 2010"
"286","Jorna",11,"1933 2010 ","Jess",15,"1938 2009"
"287","Josefine",15,"1961 2010 ","Jim",7,"1945 2000"
"288","Juaanna",6,"1938 2010 ","Jimmy",14,"1961 2006"
"289","Juaannannguaq",5,"1970 2006 ","Joas",9,"1930 2010"
"290","Judithe",101,"1926 2010 ","Job",9,"1930 1996"
"291","Julia",50,"1929 2010 ","Joel",24,"1924 2010"
"292","Juliane",133,"1919 2009 ","Joey",5,"1993 2008"
"293","Julianne",5,"1942 2010 ","Johan",301,"1924 2010"
"294","Julie",106,"1921 2010 ","Johannes",341,"1918 2010"
"295","Justa",11,"1933 2010 ","Johansinguaq",5,"1937 1986"
"296","Justine",56,"1931 2010 ","Johansinnguaq",5,"1984 2009"
"297","Jytte",11,"1942 1997 ","John",225,"1926 2010"
"298","Jørgine",33,"1942 2009 ","Johnny",24,"1946 2007"
"299","Kaaka",7,"1957 2007 ","Jokum",45,"1930 2010"
"300","Kaalannguaq",5,"1968 2004 ","Jon",13,"1951 2006"
"301","Kaalat",5,"1955 2008 ","Jonas",172,"1923 2010"
"302","Kaja",13,"1960 2010 ","Jonathan",65,"1924 2010"
"303","Kamilla",16,"1931 2007 ","Joorut",7,"1968 2010"
"304","Karen",460,"1910 2010 ","Joseas",5,"1935 1988"
"305","Karen-Marie",13,"1969 2003 ","Josef",88,"1928 2010"
